batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_pk,game_date,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
664761,Alec Bohm,PHI,NYM,1,5.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.24601769911504426,824250,2026-07-12,R,5,5,1,0,0,0,0,0,0,1,1,4,0,3,2,1,1,0.225,0.34875,1,0,1,0,1,0,0.16071428571428573,0.27692307692307694,0.7678571428571429,0.2,0.17073170731707318,0.17857142857142858,0.03076923076923077,0.06153846153846154,1.2666666666666666,0.8666666666666667,0.3953488372093023,0.3023255813953488,0.4883720930232558,0.16279069767441862,0.046511627906976744,0.28641111111111106,0.5011888888888889,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6510910828345563,0.26334517011525344,0.6510910828345563,0.8666666666666667,"{""bet365"": {""0.5"": -150}}",0.5,bet365,-150.0,0.6,True,0.0511,1.5,,,,False,
669016,Brandon Marsh,PHI,NYM,1,4.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824250,2026-07-12,L,4,3,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0.045,0.05399999999999999,0,0,0,0,1,0,0.22580645161290322,0.2835820895522388,0.6612903225806451,0.31343283582089554,0.2702702702702703,0.20967741935483872,0.05970149253731343,0.014925373134328358,1.8,1.4,0.43902439024390244,0.21951219512195122,0.36585365853658536,0.34146341463414637,0.0975609756097561,0.3393,0.6619777777777778,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.7179511873686112,0.3553061989646034,0.7179511873686112,1.4,"{""betmgm"": {""0.5"": -275}, ""bet365"": {""1.5"": 160}}",0.5,betmgm,-275.0,0.7333333333333333,True,-0.0154,1.5,bet365,160.0,0.38461538461538464,True,-0.0293
547180,Bryce Harper,PHI,NYM,1,3.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824250,2026-07-12,L,5,5,1,0,0,0,0,0,0,1,1,4,0,1,0,4,0,0.22725,0.25075000000000003,1,0,1,0,1,0,0.2222222222222222,0.3384615384615385,0.6851851851851852,0.26153846153846155,0.2777777777777778,0.16666666666666666,0.03076923076923077,0.046153846153846156,1.4,1.1333333333333333,0.5263157894736842,0.13157894736842105,0.5,0.34210526315789475,0.02631578947368421,0.3566130952380952,0.5692797619047619,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.7021652277343652,0.31524725353345134,0.7021652277343652,1.1333333333333333,"{""bet365"": {""0.5"": -270}}",0.5,bet365,-270.0,0.7297297297297297,True,-0.0276,1.5,,,,False,
681082,Bryson Stott,PHI,NYM,1,6.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824250,2026-07-12,L,4,4,2,1,0,0,0,0,0,0,3,4,0,0,1,3,0,0.308,0.33975,1,1,1,1,0,0,0.2857142857142857,0.3492063492063492,0.7857142857142857,0.19047619047619047,0.35555555555555557,0.05357142857142857,0.0,0.015873015873015872,1.2666666666666666,0.8,0.3333333333333333,0.2222222222222222,0.37777777777777777,0.3333333333333333,0.022222222222222223,0.38486555555555557,0.5227144444444444,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6392480143607475,0.2564001647284519,0.6392480143607475,0.8,"{""bet365"": {""0.5"": -170}, ""betmgm"": {""0.5"": -130}}",0.5,betmgm,-130.0,0.5652173913043478,True,0.074,1.5,,,,False,
656537,Derek Hill,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.24601769911504426,824250,2026-07-12,R,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2836666666666667,0.3263333333333333,0,0,0,0,1,1,0.38461538461538464,0.4146341463414634,0.6410256410256411,0.3333333333333333,0.5454545454545454,0.28205128205128205,0.07142857142857142,0.047619047619047616,1.7333333333333334,0.9333333333333333,0.38461538461538464,0.34615384615384615,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.4806410256410257,0.8393974358974359,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6458441887824184,0.25739313009324877,0.6458441887824184,0.9333333333333333,,0.5,,,,False,,1.5,,,,False,
624641,Edmundo Sosa,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.24601769911504426,824250,2026-07-12,R,4,2,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0.011,0.015,0,0,0,0,1,0,0.2553191489361702,0.29411764705882354,0.851063829787234,0.1346153846153846,0.2564102564102564,0.19148936170212766,0.038461538461538464,0.019230769230769232,1.4,0.4666666666666667,0.4634146341463415,0.2926829268292683,0.4634146341463415,0.21951219512195122,0.0,0.34940000000000004,0.5731333333333333,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.5213622987385399,0.17075673647884662,0.5213622987385399,0.4666666666666667,,0.5,,,,False,,1.5,,,,False,
687282,Gabriel Rincones Jr.,PHI,NYM,1,8.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824249,2026-07-11,L,4,4,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0.08433333333333333,0.09566666666666666,0,0,0,0,1,0,0.22916666666666666,0.2692307692307692,0.6875,0.28846153846153844,0.30303030303030304,0.125,0.019230769230769232,0.057692307692307696,1.1333333333333333,1.0,0.4411764705882353,0.20588235294117646,0.4411764705882353,0.2647058823529412,0.029411764705882353,0.25995238095238093,0.4486369047619047,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6906642647532979,0.2758018718890873,0.6906642647532979,1.0,,0.5,,,,False,,1.5,,,,False,
596117,Garrett Stubbs,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824089,2026-07-06,L,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.531,0.553,1,0,1,0,0,0,0.1388888888888889,0.2558139534883721,0.7222222222222222,0.23255813953488372,0.18518518518518517,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2962962962962963,0.2222222222222222,0.48148148148148145,0.18518518518518517,0.0,0.2294259259259259,0.2835092592592592,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6125196424304898,0.2474016916714116,0.6125196424304898,0.6666666666666666,,0.5,,,,False,,1.5,,,,False,
592663,J.T. Realmuto,PHI,NYM,1,7.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.24601769911504426,824250,2026-07-12,R,4,3,2,1,0,0,0,1,0,0,3,3,0,2,0,1,2,0.6033333333333334,0.7480000000000001,1,1,1,1,0,0,0.16981132075471697,0.25,0.7358490566037735,0.23333333333333334,0.18421052631578946,0.18867924528301888,0.03333333333333333,0.06666666666666667,1.2666666666666666,0.9333333333333333,0.325,0.25,0.375,0.35,0.0,0.24422444444444444,0.3575233333333333,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.6478020015549375,0.2791616797556185,0.6478020015549375,0.9333333333333333,"{""bet365"": {""0.5"": -225}}",0.5,bet365,-225.0,0.6923076923076923,True,-0.0445,1.5,,,,False,
702222,Justin Crawford,PHI,NYM,1,9.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.24601769911504426,824494,2026-07-09,L,3,3,1,0,0,0,0,0,0,0,1,3,0,2,1,1,1,0.38466666666666666,0.4646666666666666,1,0,1,0,0,0,0.3469387755102041,0.37254901960784315,0.7959183673469388,0.18867924528301888,0.4358974358974359,0.08163265306122448,0.0,0.03773584905660377,1.4,0.6666666666666666,0.2926829268292683,0.34146341463414637,0.5365853658536586,0.12195121951219512,0.0,0.42038461538461536,0.5083910256410256,0.5931372549019608,0.19653179190751446,0.39444444444444443,0.16666666666666666,0.30578512396694213,0.30578512396694213,0.03305785123966942,7.741258741258741,1.3216783216783217,11.13986013986014,0.28921568627450983,0.43026002820480164,0.08521873778900894,0.43026002820480164,0.6666666666666666,"{""bet365"": {""0.5"": -140}, ""betmgm"": {""0.5"": -140}}",0.5,bet365,-140.0,0.5833333333333334,True,-0.1531,1.5,,,,False,
